"","GreennessIndex","Contrast","PlantBiomass","VerticalWaterDistance","SoilMoistureAvrg","pH","EC","SalinityAdjusted","BulkDensityIncRoots","ThufurHollowNA","AnimalActivity","ShannonIndex","SpeciesRichness"
"s2t4p2",0.3820985,48.5717684729652,22.4,40.5,46.13,8.25,292.4,4970.8,1.094,NA,0,0.479783002167653,3
"s2t4p3",0.3571304,46.5362363666282,26,-3,100,7.4,321,3049.5,0.281,NA,0,0.183349468089932,2
"s2t4p4",0.4056583,40.1165148616673,17,22,62.77,7.49,282.7,3901.26,0.42,"Thufur",0,1.0079710985857,4
"s2t4p5",0.3657514,48.1505232414244,15.9,12,47.2,8.62,986.2,9368.9,0.464,"Thufur",0,0.698304630295462,4
"s2t5p1",0.4266978,38.4607407535455,17.4,9.5,67.67,7.8,322.4,4449.12,0.447,"Hollow",0,0.282738880066872,2
"s2t5p2",0.4029183,45.4946118234546,25.6,4,80.5,6.71,514.4,4423.84,0.204,"Thufur",1,0.688138813713588,2
"s2t5p3",0.391398,51.468551219706,34.7,3,74.07,7.44,483.1,4589.45,0.272,"Thufur",0,0.714288686369108,3
"s2t5p4",0.3924437,51.8038740553505,22.6,-1,93.73,7.37,277.1,2632.45,0.17,NA,0,0.0860148849495248,4
"s2t5p5",0.3417598,58.4481636066965,10.9,1,51.33,8.58,413.8,7034.6,1.046,NA,0,0.247901806070712,2
"s2t5p6",0.3403152,41.4128381024535,10.7,46,21.37,9.21,979.6,16653.2,1.408,NA,0,0.494702412787741,3
"s3t1p1",0.3547041,31.7426112490862,12,197,15.47,8.43,629.3,8684.34,0.997,NA,0,0.686961576597323,2
"s3t1p2",0.3892067,53.481457144513,14.4,82,41.33,8.07,1507,12960.2,0.878,NA,0,1.64478218627111,6
"s3t1p3",0.3747159,48.6300596428872,13.8,7,55.07,7.75,308.4,2929.8,0.96,NA,0,1.25505834771896,6
"s3t1p4",0.3412874,26.7267982969984,11.6,66,32.9,8.58,1297,12321.5,1.223,NA,0,0.927649013055109,3
"s3t1p5",0.3738119,34.9667373470093,11,74,26.23,8.6,869.9,8264.05,0.941,NA,1,1.54640379192738,6
"s3t1p6",0.3814338,49.206940908039,12.1,10,57.83,7.75,585.5,8079.9,0.575,NA,1,0.964942040916715,5
"s3t2p1",0.3426066,49.1327882476086,11.6,174,14.03,8.2,1428,13566,0.675,NA,1,0.741830412456956,3
"s3t2p2",0.3602384,41.8795236588637,23.3,83,55.47,8.08,3250,27950,0.753,"Hollow",0,0.729871209983116,3
"s3t2p3",0.3459921,41.0775086427142,10.7,2,47.2,7.72,409.5,3521.7,1.055,NA,0,1.14252727871619,4
"s3t2p4",0.3515349,36.0013861723337,11.8,34.5,46.13,8.13,1432,13604,0.861,NA,0,1.2251824655762,5
"s3t2p5",0.4060404,41.1357932085856,11.8,6,61.2,7.72,692.1,5952.06,0.69,NA,0,1.50939301534609,6
"s3t2p6",0.3707475,48.7622417229209,12.3,1,61.4,7.21,613.2,8462.16,0.442,"Hollow",1,0.691502198054099,3
"s3t3p1",0.3500889,25.3502054923956,9.6,81,27.33,8.31,398.7,3428.82,1.187,"Thufur",0,1.06371555298429,3
"s3t3p2",0.3843608,38.0287061295335,13.8,81,40.33,8.69,914.7,8689.65,0.744,NA,0,1.65432197070638,6
"s3t3p3",0.3838025,36.626165674363,12.2,45,43.47,7.92,251,2384.5,0.76,"Hollow",0,1.57805163067824,6
"s3t3p4",0.3401774,20.3162908087871,10.7,10,15.93,8.67,857.1,8142.45,1.066,"Thufur",0,0.470235962355249,3
"s3t3p5",0.402751,39.072593007118,10.8,9,58.03,7.6,801.5,11060.7,0.711,NA,0,0.963551180018119,4
"s3t3p6",0.4144648,37.0021228346736,10.8,15,62.33,7.53,1003,13841.4,0.586,NA,0,1.09603496975765,4
"s3t4p1",0.4030614,56.6252763278549,12.6,35,51.07,8.25,275.3,2367.58,0.83,"Thufur",0,1.65841008377077,7
"s3t4p2",0.3529714,61.1366285079892,13.1,43,28.13,7.88,400.9,3808.55,0.574,"Hollow",0,0.579367146711296,4
"s3t4p3",0.4227284,50.8946841707985,18.4,4,70.47,7.35,323.2,2779.52,0.64,"Hollow",0,0.64110707656534,5
"s3t4p4",0.4222856,48.1175817116689,15.7,9,77.77,7.39,344.1,3268.95,0.371,"Hollow",1,0,1
"s3t4p5",0.3655458,50.9010383652059,9.7,47,21,7.61,458.5,4355.75,0.46,"Hollow",0,0.438640292037925,3
"s3t4p6",0.3633392,53.4536447271037,9.8,11,10.13,7.72,311,2954.5,0.656,NA,0,0.136863993282248,2
"s3t5p1",0.3931825,45.7887171723537,11.3,10,60.77,7.77,462.2,6378.36,0.704,NA,0,1.53519084913132,5
"s3t5p2",0.34696,50.2763442758639,17.4,47,46.57,9.17,1150,15870,1.275,NA,0,0.682908104700472,2
"s3t5p4",0.4046649,47.8421945435032,19.5,8,49.8,8.12,821.1,7800.45,0.763,NA,0,1.09895405283888,4
"s3t5p5",0.3439492,41.0149726431023,10.4,55,24.57,8.59,747.3,10312.74,0.955,NA,0,0.983891863803136,3
"s3t5p6",0.3404732,35.2924530266444,12.7,44,20.2,8.71,569.4,7857.72,1.24,NA,0,1.19168922344041,4
