"","GreennessIndex","Contrast","PlantBiomass","VerticalWaterDistance","SoilMoistureAvrg","pH","EC","SalinityAdjusted","BulkDensityIncRoots","ThufurHollowNA","AnimalActivity","ShannonIndex","SpeciesRichness","PlantBiomassLog","VerticalWaterDistanceLog","pHLog","ECLog","SalinityAdjustedLog","BulkDensityIncRootsLog"
"s1t5p5",0.3644625,57.7997481539458,8.8,31,43.5,7.83,919.2,7905.12,0.387,NA,"1",1.07409842215311,5,2.28238238567653,3.55534806148941,2.17815501461587,6.82459103772137,8.975392422087,0.327143141332695
"s1t5p6",0.4133539,56.0214350935784,13,20,68.5,7.45,335.2,2882.72,0.349,NA,"0",0.815849865184519,3,2.63905732961526,3.17805383034795,2.13416644136908,5.81770622097452,7.96683640631291,0.299363577225619
"s2t1p1",0.4174952,52.9041816813373,12.5,82.5,55.63,8.25,1309,12435.5,0.438,NA,"1",0.119976647825488,3,2.60268968544438,4.46014441393783,2.22462355152433,7.1777824161952,9.42839097622438,0.363253259298855
"s2t1p2",0.4089838,54.1003253485224,21.7,4.5,73.4,7.6,253,2175.8,0.25,NA,"0",0.108446415937116,3,3.12236492448736,2.14006616349627,2.15176220325946,5.53733426701854,7.68561118746904,0.22314355131421
"s2t1p3",0.4330921,46.9577743253133,22.5,12,100,7.19,652.6,5612.36,0.182,NA,"0",0.525568899263348,4,3.15700042115011,2.77258872223978,2.10291389786498,6.48249554354579,8.63290474971075,0.167207918983906
"s2t1p4",0.4099486,45.5991710348324,15.8,8,59,9.14,1319,12530.5,0.455,NA,"0",0.798225159570753,4,2.82137888640921,2.484906649788,2.31648799816304,7.18538701558042,9.43600075341467,0.375005900623456
"s2t1p5",0.4104987,50.9296046571236,24.9,0,90.23,7.58,655.8,5639.88,0.485,NA,"0",0.313495627924541,3,3.25424296870549,1.38629436111989,2.14943391349987,6.48737955813822,8.63779536068974,0.395414772254663
"s2t1p6",0.3315222,62.5281415287358,11,78,36.4,8.9,5580,47988,0.94,NA,"0",0,1,2.484906649788,4.40671924726425,2.29253475714054,8.62712325078843,10.7787270969607,0.662687973075237
"s2t2p1",0.4132608,42.4974177280845,18,50,51.3,7.99,554.7,4770.42,0.675,NA,"0",0.702974707656593,6,2.94443897916644,3.98898404656427,2.19611284848353,6.32022858028588,8.47039923350068,0.51581316527703
"s2t2p2",0.3730251,51.6840382191134,26.9,5,64.8,7.96,574.1,4937.26,0.236,NA,"0",1.03349206069237,3,3.32862668882732,2.19722457733622,2.19277022698684,6.35454393871971,8.50476832141492,0.211880359035499
"s2t2p3",0.3974722,42.310420412358,20.6,5,74.2,7.6,251.6,2163.76,0.221,NA,"0",0.902735235309711,4,3.07269331469012,2.19722457733622,2.15176220325946,5.53180720991639,7.68006477978831,0.199670195128568
"s2t2p4",0.4187389,47.8028064698438,29,13,72.87,7.08,460.1,3956.86,0.211,NA,"0",0.692012964831874,2,3.40119738166216,2.83321334405622,2.089391872533,6.13361493921266,8.28345875413723,0.191446464570955
"s2t2p5",0.3977102,47.5723056499328,26.8,0,77.7,7.72,207.5,1971.25,0.208,NA,"0",0.0579075174881343,2,3.32503602069659,1.38629436111989,2.16561923792089,5.33993904123886,7.5869303019752,0.188966099512623
"s2t2p6",0.3845964,42.5856037619206,23.4,8,49.27,8.35,270.3,2324.58,0.878,NA,"0",0.708581534243736,3,3.19458313229916,2.484906649788,2.2353763433006,5.60322521966489,7.75172474927649,0.630207380786071
"s2t3p1",0.468683,34.9319963673658,12.8,125,50.5,8.38,492.7,4680.65,0.667,NA,"0",1.23799649530242,5,2.62466859216316,4.85981240436167,2.23857976301813,6.20192804526482,8.45140589087814,0.511025603768657
"s2t3p2",0.4320269,40.9249021486097,11.4,2,53.5,8.68,162.5,1397.5,0.464,NA,"0",1.25115598336363,4,2.51769647261099,1.79175946922805,2.27006190128849,5.09681299033731,7.24315551264201,0.38117241553912
"s2t3p3",0.404721,49.0301625465217,12.9,10,63.53,7.77,617.2,5863.4,0.317,"Thufur","0",0.730588061371122,3,2.63188884013665,2.63905732961526,2.17133680638409,6.42681202969802,8.67665545406411,0.275356422761144
"s2t3p4",0.4452833,44.1085425625677,24.8,0,100,7.14,423,3637.8,0.2,NA,"0",0.501046913759097,3,3.25037449192757,1.38629436111989,2.09679018001445,6.04973345523196,8.19940923594791,0.182321556793955
"s2t3p5",0.3413401,50.3732611995382,10,0,41.43,7.99,828.5,7125.1,1.12,"Hollow","0",0.271189373041844,2,2.39789527279837,1.38629436111989,2.19611284848353,6.7208231096305,8.87151937918548,0.751416088683921
"s2t3p6",0.3593229,51.7064574205216,10.8,16,77.8,8.44,1051,14503.8,0.727,NA,"0",0.873900414269067,3,2.46809953147162,2.99573227355399,2.24495598015741,6.95844839329766,9.5822349081116,0.546385799164541
"s2t4p1",0.3212296,50.8417051436003,26.1,16,61.67,8.94,1570,13502,1.119,NA,"0",0.658109987543114,2,3.29953372788566,2.99573227355399,2.29656702066848,7.35946763825562,9.51066716196104,0.750944279286162
"s2t4p2",0.3820985,48.5717684729652,22.4,40.5,46.13,8.25,292.4,4970.8,1.094,NA,"0",0.479783002167653,3,3.15273602236366,3.79548918917219,2.22462355152433,5.68153686570888,8.51153722656008,0.739076112448345
"s2t4p3",0.3571304,46.5362363666282,26,-3,100,7.4,321,3049.5,0.281,NA,"0",0.183349468089932,2,3.29583686600433,0,2.12823170584927,5.77455154554441,8.02306079059191,0.247641022914597
"s2t4p4",0.4056583,40.1165148616673,17,22,62.77,7.49,282.7,3901.26,0.42,"Thufur","0",1.0079710985857,4,2.89037175789616,3.25809653802148,2.13888900032326,5.64791734181481,8.26931115145937,0.350656871613169
"s2t4p5",0.3657514,48.1505232414244,15.9,12,47.2,8.62,986.2,9368.9,0.464,"Thufur","0",0.698304630295462,4,2.82731362192903,2.77258872223978,2.26384426467762,6.89487265315112,9.14525770281693,0.38117241553912
"s2t5p1",0.4266978,38.4607407535455,17.4,9.5,67.67,7.8,322.4,4449.12,0.447,"Hollow","0",0.282738880066872,2,2.91235066461494,2.60268968544438,2.17475172148416,5.77888994714301,8.40068634108884,0.369492447649347
"s2t5p2",0.4029183,45.4946118234546,25.6,4,80.5,6.71,514.4,4423.84,0.204,"Thufur","1",0.688138813713588,2,3.28091121578765,2.07944154167984,2.04251818757524,6.24494329821826,8.39498939859622,0.185649346886629
"s2t5p3",0.391398,51.468551219706,34.7,3,74.07,7.44,483.1,4589.45,0.272,"Thufur","0",0.714288686369108,3,3.57515068878559,1.94591014905531,2.13298230860787,6.18229149694565,8.43173333746475,0.24059046491793
"s2t5p4",0.3924437,51.8038740553505,22.6,-1,93.73,7.37,277.1,2632.45,0.17,NA,"0",0.0860148849495248,4,3.16124671203156,1.09861228866811,2.12465388450138,5.62798076123992,7.87605005260309,0.157003748809665
"s2t5p5",0.3417598,58.4481636066965,10.9,1,51.33,8.58,413.8,7034.6,1.046,NA,"0",0.247901806070712,2,2.47653840011748,1.6094379124341,2.25967759198277,6.02779647635537,8.85873825375817,0.715886667529435
"s2t5p6",0.3403152,41.4128381024535,10.7,46,21.37,9.21,979.6,16653.2,1.408,NA,"0",0.494702412787741,3,2.45958884180371,3.91202300542815,2.32336763217657,6.88816462921713,9.72041771585059,0.878796527446575
"s3t1p1",0.3547041,31.7426112490862,12,197,15.47,8.43,629.3,8684.34,0.997,NA,"0",0.686961576597323,2,2.56494935746154,5.30330490805908,2.24389609664537,6.44619589651906,9.06939182586519,0.691646054433678
"s3t1p2",0.3892067,53.481457144513,14.4,82,41.33,8.07,1507,12960.2,0.878,NA,"0",1.64478218627111,6,2.73436750941958,4.45434729625351,2.20497226412705,7.3185395485679,9.46971555821243,0.630207380786071
"s3t1p3",0.3747159,48.6300596428872,13.8,7,55.07,7.75,308.4,2929.8,0.96,NA,"0",1.25505834771896,6,2.69462718077007,2.39789527279837,2.16905370036952,5.73463493813897,7.98303070228581,0.672944473242426
"s3t1p4",0.3412874,26.7267982969984,11.6,66,32.9,8.58,1297,12321.5,1.223,NA,"0",0.927649013055109,3,2.53369681395743,4.24849524204936,2.25967759198277,7.16857989726403,9.41918213857953,0.798857634982059
"s3t1p5",0.3738119,34.9667373470093,11,74,26.23,8.6,869.9,8264.05,0.941,NA,"1",1.54640379192738,6,2.484906649788,4.35670882668959,2.26176309847379,6.76952715969869,9.0197910598436,0.663203304186873
"s3t1p6",0.3814338,49.206940908039,12.1,10,57.83,7.75,585.5,8079.9,0.575,NA,"1",0.964942040916715,5,2.57261223020711,2.63905732961526,2.16905370036952,6.37417266809353,8.99725853145078,0.454255272277596
"s3t2p1",0.3426066,49.1327882476086,11.6,174,14.03,8.2,1428,13566,0.675,NA,"1",0.741830412456956,3,2.53369681395743,5.18178355029209,2.21920348405499,7.26473017792987,9.51539565248531,0.51581316527703
"s3t2p2",0.3602384,41.8795236588637,23.3,83,55.47,8.08,3250,27950,0.753,"Hollow","0",0.729871209983116,3,3.1904763503465,4.46590811865458,2.2060741926132,8.08671792030391,10.2382082561185,0.561328605939098
"s3t2p3",0.3459921,41.0775086427142,10.7,2,47.2,7.72,409.5,3521.7,1.055,NA,"0",1.14252727871619,4,2.45958884180371,1.79175946922805,2.16561923792089,6.01737592889248,8.16698302001767,0.720275847948198
"s3t2p4",0.3515349,36.0013861723337,11.8,34.5,46.13,8.13,1432,13604,0.861,NA,"0",1.2251824655762,5,2.54944517092557,3.65065824129374,2.21156569460688,7.26752542782817,9.51819265121735,0.621113977660114
"s3t2p5",0.4060404,41.1357932085856,11.8,6,61.2,7.72,692.1,5952.06,0.69,NA,"0",1.50939301534609,6,2.54944517092557,2.30258509299405,2.16561923792089,6.54117428892394,8.69166065205439,0.524728528934982
"s3t2p6",0.3707475,48.7622417229209,12.3,1,61.4,7.21,613.2,8462.16,0.442,"Hollow","1",0.691502198054099,3,2.58776403522771,1.6094379124341,2.10535292346434,6.42032060800672,9.04347790531675,0.366031038862757
